]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1667.9 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  51.9°C |  0.00 bar [0.495 V]
  1668.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  50.9°C |  0.00 bar [0.498 V]
  1668.6 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.37 | PD: -0.01  | PI:  0.00 | Brew:  49.6°C |  0.00 bar [0.497 V]
  1668.9 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  48.6°C |  0.00 bar [0.498 V]
  1669.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  46.6°C |  0.00 bar [0.498 V]
  1669.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  49.8°C |  0.00 bar [0.495 V]
  1669.8 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  51.2°C |  0.00 bar [0.497 V]
  1670.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  50.9°C |  0.00 bar [0.498 V]
  1670.3 s | Boiler:  59.7°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.3 °C |  PP: 16.28 | PD: -0.04  | PI:  0.00 | Brew:  49.6°C |  0.00 bar [0.498 V]
  1670.6 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD: -0.01  | PI:  0.00 | Brew:  51.1°C |  0.00 bar [0.498 V]
  1670.9 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  47.2°C |  0.00 bar [0.495 V]
  1671.2 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD: -0.01  | PI:  0.00 | Brew:  48.8°C |  0.00 bar [0.498 V]
  1671.5 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  51.4°C |  0.00 bar [0.497 V]
  1671.8 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  47.8°C |  0.00 bar [0.495 V]
